Texas,California,Montana,New Mexico,Arizona,Nevada,Colorado,Oregon,Wyoming,Michigan,Minnesota,Utah,Idaho,Kansas,Nebraska,South Dakota,Washington,North Dakota,Oklahoma,Missouri,Florida,Wisconsin,Georgia,Illinois,Iowa,New York,North Carolina,Arkansas,Alabama,Louisiana,Mississippi,Pennsylvania,Ohio,Virginia,Tennessee,Kentucky,Indiana,Maine,South Carolina,West Virginia,Maryland,Massachusetts,Vermont,New Hampshire,New Jersey,Connecticut,Delaware,Rhode Island
0,0,0,697.6191038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629.7739883,0,0,0,0,0,0,0,0,602.593084,0,601.1913509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,597.24094,593.1361619,0,577.9518359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,560.2195068,0,0,0,541.1747059,0,0,532.0127839,0,522.513134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697.6191038,0,0,0,552.2645286,0,540.2029116,0,0,0,0,515.0452158,0,0,0,0,0,0,493.3295453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,597.24094,0,552.2645286,0,539.2496183,531.2927794,0,0,0,0,506.1350835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,593.1361619,0,0,539.2496183,0,0,519.9605141,0,0,0,502.0303054,500.1895949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,540.2029116,531.2927794,0,0,0,511.2775569,0,0,494.0734665,0,490.4293589,483.4067785,0,0,0,472.3577961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,577.9518359,0,0,0,519.9605141,0,0,0,0,0,0,485.0052688,0,0,0,467.2490956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,560.2195068,0,0,0,511.2775569,0,0,0,0,486.119861,484.2791504,0,475.453173,475.1172285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.1772301,0,0,0,0,0,0,0,0,0,0,420.6091645,0,0,0,403.8060723,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.7119703,0,451.2123204,0,0,0,443.1905661,0,0,428.1401898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,515.0452158,506.1350835,502.0303054,494.0734665,0,486.119861,0,0,0,467.0750601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,541.1747059,0,0,500.1895949,0,485.0052688,484.2791504,0,0,467.0750601,0,0,0,0,447.4781764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,490.4293589,0,0,0,0,0,0,0,454.6049751,0,0,0,443.5559927,443.2637719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,483.4067785,0,475.453173,0,0,0,0,454.6049751,0,447.2464501,0,0,0,436.2411914,0,0,0,0,414.6746696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,532.0127839,0,0,0,0,0,475.1172285,0,460.7119703,0,0,0,447.2464501,0,0,437.4108557,0,0,0,0,0,0,414.3387251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,467.2490956,0,0,0,0,447.4781764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,522.513134,0,0,0,0,0,0,0,451.2123204,0,0,0,0,437.4108557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629.7739883,0,0,493.3295453,0,0,472.3577961,0,0,0,0,0,0,443.5559927,0,0,0,0,0,425.192209,0,0,0,0,0,0,0,398.3035255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,443.2637719,436.2411914,0,0,0,425.192209,0,0,0,0,406.0959339,403.3334664,0,0,398.0113047,0,0,0,0,0,0,377.6415496,374.2028921,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.5011974,0,0,0,0,0,390.5772413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,456.1772301,443.1905661,0,0,0,0,0,0,0,0,0,0,0,0,399.5797884,396.8173209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.5011974,0,0,0,0,0,382.8323456,0,380.389694,0,0,0,0,0,361.3483805,0,0,0,340.1472761,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.0959339,0,399.5797884,0,0,384.5294121,0,0,0,0,0,0,0,0,0,0,355.3988378,347.2086306,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,428.1401898,0,0,0,414.6746696,414.3387251,0,0,0,403.3334664,0,396.8173209,0,384.5294121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.6321498,0,0,0,0,0,0,0,0,0,270.6154768,266.8556405,0,263.0989797,247.8578158,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.8323456,0,0,0,0,0,0,0,0,0,0,353.0989264,351.8670761,0,0,0,330.6659717,0,0,0,0,0,0,0,0,0
602.593084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.3035255,398.0113047,0,0,0,0,0,0,0,0,0,369.7208882,362.6474479,0,0,0,350.7528661,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.5772413,0,380.389694,0,0,0,0,0,0,0,361.3190062,0,0,0,349.4244244,0,0,0,0,0,0,0,0,0,0,0,0,0
601.1913509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.7208882,0,0,361.2457148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.6474479,361.3190062,361.2457148,0,0,0,0,342.2776927,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.6321498,0,0,0,0,0,0,343.0504667,0,0,0,0,0,0,297.9404221,262.3102939,0,0,0,247.8361974,0,212.8281764,0
0,0,0,0,0,0,0,0,0,420.6091645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.0504667,0,0,0,332.1186809,323.9284737,0,0,295.6215213,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.0989264,0,0,0,0,0,0,0,331.6149613,328.1763038,0,0,0,291.6791442,256.049016,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.6415496,0,0,361.3483805,0,0,0,351.8670761,350.7528661,349.4244244,0,342.2776927,0,0,331.6149613,0,326.9444534,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.2028921,0,0,0,355.3988378,0,0,0,0,0,0,0,0,332.1186809,328.1763038,326.9444534,0,315.3155887,0,0,287.0086364,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,403.8060723,0,0,0,0,0,0,0,0,0,0,0,0,0,347.2086306,0,0,0,0,0,0,0,0,323.9284737,0,0,315.3155887,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.1589573,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.1472761,0,0,0,330.6659717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.9404221,295.6215213,291.6791442,0,287.0086364,0,0,0,0,214.8813486,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.3102939,0,256.049016,0,0,0,0,0,214.8813486,0,0,0,0,0,0,129.7691028,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.6154768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.5761852,160.4722523,0,142.5783604,0,114.2947399
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.8556405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.5761852,0,156.712416,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.1589573,0,0,0,160.4722523,156.712416,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.0989797,0,0,0,0,0,247.8361974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.2950062,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.8578158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5783604,0,0,0,0,0,91.53707889
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.8281764,0,0,0,0,0,0,0,0,129.7691028,0,0,0,115.2950062,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.2947399,0,0,0,91.53707889,0,0
